proj_name,proj_time,1,2,3,4,5,6,7,8,9,10,11,12,split
项目名称00018,2021-11-11-2022-02-16,3397.82,11541.5,28651.89,42010.81,51738.43,69319.24,78057.76,87804.97,97192.64,107463.88,139344.93,139601.26,0
项目名称00019,2021-11-16-2022-02-18,367.55,4742.21,10909.66,15259.71,17425.29,19098.06,21368.51,21894.14,24460.36,26280.76,28272.11,30262.03,0
项目名称00020,2021-11-10-2022-03-31,1504.25,10816.14,18584.65,65985.93,113610.9,161966.12,170943.8,178892.99,185236.94,211533.2,221832.82,233010.78,0
项目名称00021,2021-10-29-2022-01-29,26793.51,34063.42,47930.54,55984.46,66285.77,70747.86,77727.21,88966.46,98749.58,103126.19,-99,-99,0
项目名称00022,  2021-11-16-2022-02-18  ,4123.92,26983.73,36643.7,50131.33,55169.68,60408.11,-99,-99,-99,-99,-99,-99,0
项目名称00023,2021-10-28-2022-02-04,19847.89,23484.63,34007.96,43140.3,46234.57,51279.35,54804.45,57652.04,61171.35,66995.67,70900.65,79464.84,0
  项目名称00024,2021-11-12-2022-02-16,3162.92,26673.79,42206.35,47087.81,52221.9,55669.46,60620.66,62432.38,64865.7,66148.25,68565.81,70997.44,0
项目名称00025,2021-10-28-2022-02-08,8370.47,11089.92,24697.3,27065.38,30747.32,32881.72,34286.52,35648.72,36171.05,36394.67,38213.4,40271.1,0
项目名称00026,2021-11-11-2022-02-18,6252.43,11831.3,17907.44,21810.09,25488.43,31560.63,39851.68,52402.98,54705.1,56885.53,65173.07,68146.67,0
项目名称00027,2021-10-26-2022-01-31,7915.86,10280.4,13078.21,13977.36,14517.99,14975.46,15699.88,-99,-99,-99,-99,-99,0
项目名称00028,2021-11-11-2022-02-18,918.44,2536.21,5864.58,9824.73,14178.52,62991.97,78380.5,81214.98,84763.58,86402.69,87543.27,89167.33,0
项目名称00029,2021-10-27-2022-01-31,23586.25,27975.9,31373.48,37010.41,93854.33,97874.83,101319.95,103794.98,106682.18,113107.32,119899.33,123213.3,0
项目名称00030,2021-10-26-2022-01-26,8122.78,17059.08,20288.21,23422.11,-99,-99,-99,-99,-99,-99,-99,-99,0
项目名称00031,2021-10-25-2022-02-14,7963.91,11986.66,16866.14,22860.6,26558.11,29994.26,33846.77,37018.55,44517.79,50779.86,53437.09,56051.66,0
项目名称00032,2021-10-23-2022-02-04,6461.21,13112.42,20982.39,23426.42,27099.22,28432.55,31146.9,81584.73,86269.95,92058.85,97014.59,99059.95,0
项目名称00033,2021-10-22-2022-02-15,329.17,22656.56,24964.47,36171.46,37098.07,37962.27,42775.84,53545.19,65151.2,66368.84,67950.73,70052.08,1
项目名称00034,2021-11-09-2022-02-17,4824.74,30982.32,54312.36,67178.08,79890.05,96035.64,110313.23,135942.25,160398.75,167873.96,188425.71,214871.48,0
项目名称00035,2021-11-03-2022-02-16,3263.38,13079.36,20874.43,28799.4,34580.62,41432.21,52332.94,59970.25,153202.33,159231.18,178339.95,188864.26,0
项目名称00036,2021-11-03-2022-02-15,41515.06,109212.36,125695.2,158411.66,174300.58,185284.01,196644.99,206668.18,212422.92,218334.58,236527.36,247372.68,0
项目名称00037,2021-11-01-2022-02-15,4085.28,9906.78,18598.69,28782.05,36967.09,42263.88,-99,-99,-99,-99,-99,-99,0
项目名称00038,2021-11-01-2022-02-16,19388.89,46471.93,54504.94,60995.92,66806.91,69950.51,73200.96,79936.64,82739.14,86453.14,91869.26,96495.97,0
项目名称00039,2021-10-13-2022-01-21,183109.88,273074.13,285604.87,293831.55,303003.94,350488.91,380221.03,387583.86,394895.86,-99,-99,-99,0
项目名称00040,2021-10-13-2022-01-11,127120.97,130348.68,133084.29,134694.44,134783.05,-99,-99,-99,-99,-99,-99,-99,0
项目名称00041,2021-10-13-2022-01-13,68494.02,71697.65,76789.79,79366.73,81420.98,82837.8,85258.76,85328.17,-99,-99,-99,-99,0
项目名称00042,2021-10-12-2021-12-31,245309.12,249893.22,251964.86,254052.67,259170.67,261762.2,-99,-99,-99,-99,-99,-99,0
项目名称00043,2021-10-12-2022-01-12,61205.55,62394.01,64534.61,66006.15,68783.72,70628.65,74901.7,78556.98,-99,-99,-99,-99,0
项目名称00044,2021-10-20-2022-02-18,286.09,2214.28,5903.14,11658.75,13526.57,15538.57,19096.7,24392.62,31835.94,35479.34,41004.71,54894.47,0
项目名称00045,2021-10-18-2022-02-04,8793.07,12654.53,26825.7,28924.36,29148.37,29704.5,31830.88,36862.71,39611.52,41260.65,-99,-99,0
项目名称00046,2021-10-18-2022-01-18,12965.41,14462.37,16265.43,17903.25,19838.53,21189.93,22232.67,23265.58,24888.87,25913.74,28395.68,28966.87,1
项目名称00047,2021-11-05-2022-02-14,3574.5,6621,11312.24,13688.26,22293.09,23722.31,26528.12,28358.7,29902.3,31688.71,38465.63,40099.06,0
项目名称00048,2021-10-15-2022-02-03,1632.1,1964.04,2439.01,2596.83,2627.86,2653.52,2671.29,2722.39,2755.58,2782.59,2794.88,-99,0
项目名称00049,2021-11-05-2022-02-05,4403.68,7253.43,11640.14,14144.8,16276.86,17950.47,19855.7,21863.92,24524.55,27109.19,29617.03,-99,0
项目名称00050,2021-10-15-2022-01-21,64483.12,68207.51,72081.91,75108.19,77705.29,81000.35,89794.68,91153.51,93675.95,95644.51,107837.32,107946.72,0
项目名称00051,2021-11-05-2022-02-18,1146.69,3352.84,5367.92,7707.6,9093.45,10461.08,15818.76,17258.54,19148.66,20129.08,21471.5,24923.81,0
项目名称00052,2021-10-21-2022-02-03,162178.65,175492.22,269159.54,277289.23,286140.85,301402.49,364079.32,373001.98,389563.16,397441.4,447046.31,458130,0
项目名称00053,2021-11-05-2022-02-15,372.29,673.71,32765.36,37683.21,38745.72,40380.87,41518.48,41904.29,42369.25,42644.94,43202.16,44132.05,0
项目名称00054,2021-10-20-2022-02-02,26933.22,41583.09,51439.18,59202.27,79545.75,87524.5,106076.13,-99,-99,-99,-99,-99,0
项目名称00055,2021-11-04-2022-02-18,55016.5,67102.5,76883.97,86533.73,92419.85,174711.62,176910.68,185404.26,203216.44,-99,-99,-99,0
项目名称00056,2021-10-18-2022-01-18,186889.61,199024.4,290317.31,300581.82,307931.11,314912.7,385295.89,406348.88,422588.76,428604.69,461915.03,474195.78,0
项目名称00057,2021-10-18-2022-01-21,72505.4,83290.48,108862.29,117492.66,125231.68,193598.68,202804.21,215398.18,222642.88,228524.64,235554.54,242127.91,0
项目名称00058,2021-10-15-2022-01-21,42963.62,47142.06,47520.64,47926.66,51395.87,51708.27,51965.48,53316,53545.3,-99,-99,-99,0
项目名称00059,2021-10-11-2022-02-16,2087.08,10190.67,23463.49,39710.15,47985.99,87732.19,95503.41,102926.27,111132.29,116023.66,130355.03,133770.48,0
项目名称00060,2021-10-11-2022-01-11,281993.16,284697.08,284953.95,285099.62,285179.82,285259.52,285350.23,285440.34,-99,-99,-99,-99,0
项目名称00061,2021-10-10-2021-12-31,274453.4,277134.64,281756.55,286108.25,289577.18,291838.31,-99,-99,-99,-99,-99,-99,0
项目名称00062,2021-10-10-2022-01-10,6867979.3,6878612.1,6887558.46,6897490.91,6911214.36,6919707.5,6930341.23,6935298.66,-99,-99,-99,-99,0
项目名称00063,2021-10-10-2022-01-10,256838.35,259249.02,261848.49,264105.2,267120.41,269186.93,270815.58,272466.02,-99,-99,-99,-99,0
项目名称00064,2021-11-03-2022-02-13,4133.03,8937.87,19526.27,23977.63,28911.28,48891.91,69595.25,75613.46,79199.93,81531.53,85314.65,87959.47,0
项目名称00065,2021-11-02-2022-02-03,2679.72,3576.02,5884.56,8322.75,9286.88,11019.18,12510.5,15002.9,17471.43,18544.23,19388.05,20633.81,0
项目名称00066,2021-10-12-2022-01-18,11975.68,13320.32,14045.34,16095.66,16176.72,16192.49,16456.13,16586.33,16671.96,16707.85,16765.34,16954.65,0
项目名称00067,2021-11-02-2022-02-15,725.43,1629.04,2692.34,3126.11,3675.21,3885.82,3885.83,3947.84,3969.44,3980.44,3988.45,3989.65,0
项目名称00068,2021-10-12-2022-01-12,138625.66,138882.02,139502.53,140111.55,141548.35,141887.38,192282.71,192769.87,193281.87,193544.24,193708.32,193710.95,1
项目名称00069,2021-09-28-2022-01-17,20661.73,23934.67,53897.85,-99,-99,-99,-99,-99,-99,-99,-99,-99,0
项目名称00070,2021-11-02-2022-02-15,3362.36,8504.32,16276.42,21843.16,25239.74,29140.68,33372.06,36869.94,40285.26,43775.51,48322.67,51466.35,0
项目名称00071,2021-10-12-2022-01-31,42160.3,50328.88,54899.84,58104.52,59966.79,59967.82,65812.27,68044.94,70206.36,72452.58,-99,-99,0
项目名称00072,2021-09-26-2022-02-16,4058.17,126549.56,160215.13,181624.71,203911.84,234858.55,260284.61,279338.07,299309.91,310000.75,328989.85,345813.73,0
项目名称00073,2021-11-01-2022-02-01,132565.31,137505.26,143000.86,147577.51,191387.88,200632.03,224053.88,229300.7,236316.75,239652.48,304732.5,314654.75,0
项目名称00074,2021-10-11-2022-01-12,71796.16,71980.04,72006.05,74101.56,75628.41,76112.1,76655.05,77311.75,77949.31,79040.35,79412.83,79413.53,0
项目名称00075,2021-09-24-2021-12-28,106999.68,115731.83,123373.78,130068.61,135824.28,141946.16,149369.13,155451.99,161500.25,173933.29,179538.68,185675.58,0
项目名称00076,2021-10-11-2022-02-04,6390.31,8979.93,11553.39,13213.83,13218.83,13225.83,13229.83,13260.84,13261.85,13261.95,13261.95,-99,0
项目名称00077,2021-09-23-2021-12-29,52060.95,56369.28,64969.03,67938.81,71079.65,73656.36,-99,-99,-99,-99,-99,-99,0
项目名称00078,2021-09-23-2022-01-17,26513.94,26913.99,27242.69,27342.1,27387.21,27507.75,27574.57,27684.24,27838.16,-99,-99,-99,0
项目名称00079,2021-10-09-2021-12-31,659254.63,661043.24,661614.46,661857.68,662256.87,662499.75,-99,-99,-99,-99,-99,-99,0
项目名称00080,2021-09-28-2022-01-11,18628.26,18730.64,18770.89,21381.23,24470.03,26283.99,29027.63,30423.99,-99,-99,-99,-99,0
项目名称00081,2021-09-28-2021-12-27,79472.9,81813.66,85638.13,88821.27,91877.82,94104.82,-99,-99,-99,-99,-99,-99,0
项目名称00082,2021-09-27-2021-12-31,34554,42735.78,47663.32,55431.21,58838.06,67503.05,70826.47,74872.15,76372.11,76721.93,76953.91,77412.61,1
项目名称00083,2021-09-27-2021-12-29,314929.23,332075.14,408642.45,421434.02,438393.47,477302.75,492182.84,-99,-99,-99,-99,-99,0
项目名称00084,2021-09-30-2022-01-11,50111.39,55350.36,56809.64,57643.77,58726.91,70207.52,71584.09,73721.29,-99,-99,-99,-99,0
项目名称00085,2021-09-29-2022-01-21,14820.68,17223.18,20046.19,23542.22,25391.77,26847.29,30317.85,32710.06,34339.23,35804.23,37284.46,37435.68,0
项目名称00086,2021-09-28-2022-01-21,8677,12373.37,14823.76,16716.34,17849.97,19327.82,26805.57,28726.94,30806.13,32377.67,34424.88,34529.78,0
项目名称00087,2021-09-28-2022-01-16,27548.49,35647.57,40488.54,46114.82,49343.04,49620.78,49833.32,50665.06,54743.52,257489.44,259456.8,259763.07,0
项目名称00088,2021-09-27-2022-11-05,1112.63,1560.8,2251.99,2826.67,3241.71,3863.6,4311.44,5139.21,5581.87,6452.46,7579.39,8019.12,0
项目名称00089,2021-09-15-2022-01-11,53929.72,67136.56,75243.09,83365.2,91000.44,96381.28,101965.91,108911.75,114799.33,125815.25,136665.76,142274.96,0
项目名称00090,2021-09-14-2021-12-23,96532.52,149717.79,289600.75,302632.6,302814.32,-99,-99,-99,-99,-99,-99,-99,0
项目名称00091,2021-10-28-2022-01-31,4942.79,6819.83,9464.9,10996.89,13202.91,14598.88,-99,-99,-99,-99,-99,-99,0
项目名称00092,2021-09-08-2022-03-01,336635.76,344363.11,354723.81,361103.39,383354.26,414897.95,423478.89,431020.29,439855.5,444301.95,449882.96,456359.95,0
项目名称00093,2021-10-28-2022-02-03,6759.68,8483.7,10908.56,12306.22,13598.03,16133.88,-99,-99,30598.88,31639.94,35943.42,38598.53,0
项目名称00094,2021-09-07-2021-12-13,152816.56,157848.28,166438.27,172623.42,177675.21,181058.68,185498.48,195130.47,-99,-99,-99,-99,0
项目名称00095,2021-10-28-2022-02-03,7637.04,22417.11,24526.88,26583.19,28668.14,30198.46,-99,-99,-99,-99,-99,-99,0
项目名称00096,2021-09-06-2021-12-12,449970.43,463719.36,483481.94,495425.42,-99,-99,-99,-99,-99,-99,-99,-99,1
项目名称00097,2021-10-27-2022-01-31,34941.42,38438.24,41454.3,64297.54,66479.54,69250.99,75231.53,79515.11,81460.59,82940.35,-99,-99,0
项目名称00098,2021-10-27-2022-02-15,2079.29,4121.89,6279.15,7834.46,9923.31,10055.28,10914.3,12606.24,14372.08,15250.05,-99,-99,0
项目名称00099,2021-09-14-2021-12-29,44954.22,47478.63,52731.05,57474.23,66805.15,72157.37,77016.36,85341.12,90737.12,103597.19,111171.64,116017.2,0
项目名称00100,2021-09-06-2022-03-31,179978.51,183610.18,187557.66,189926.11,197457.49,199844.42,203329.51,206786.14,1431283.7,1967431.46,1969971.75,1970776.05,1
项目名称00101,2021-09-01-2021-12-25,31469.51,31614.41,31670.77,31687.86,35982.02,-99,-99,-99,-99,-99,-99,-99,0
项目名称00102,2021-08-31-2022-03-31,13744.99,14165.53,14724.37,15508.87,15521.42,15732.76,15732.86,15746.88,15750.88,15758.05,75099.79,76783.42,0
项目名称00103,2021-08-22-2021-12-01,143653.39,150545.83,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0
项目名称00104,2021-09-26-2021-12-27,61024.55,63253.87,71237.88,74905.23,79436.33,81707.72,-99,-99,-99,-99,-99,-99,0
项目名称00105,2021-09-24-2021-12-28,95689.9,118232.71,131780.08,144640.55,149456.11,153003.57,-99,-99,-99,-99,-99,-99,0
项目名称00106,2021-08-17-2021-11-30,326327.33,344292.97,350240.9,354964.32,355134.38,356623.87,357116.04,357644.33,357926.77,358346.59,359787.62,360254.58,0
项目名称00107,2021-09-24-2021-12-29,20348.27,22451.29,24279.94,24597.04,28181.54,30002.88,32214.42,34397.92,34463.48,34608.51,34619.05,34683.18,0
项目名称00108,2021-08-16-2021-12-01,157845.43,168583.21,182162.11,194828.24,-99,-99,-99,-99,-99,-99,-99,-99,0
项目名称00109,2021-09-18-2021-12-27,57201.41,62005.62,65789.15,72378.88,75873.23,79520.6,-99,-99,-99,-99,-99,-99,0
项目名称00110,2021-10-21-2022-02-05,1763.66,2639.32,8032.31,9897.97,11333.25,11381.35,12158.53,13359.63,18253.83,20530.11,22482.85,24321.49,0
项目名称00111,2021-09-18-2021-12-23,33267.55,39455.21,46941.87,51139.85,54666.16,56668.71,60528.75,62167.57,64334.38,65586.65,68520.58,69104.95,0
项目名称00112,2021-08-13-2022-11-10,165196.53,277675.21,521527.84,783368.97,844621.69,1051779.59,1064185.08,1291359.81,1583760.86,1589479.14,1602336.54,1614764.54,0
项目名称00113,2021-08-11-2022-02-16,114894.33,122116.65,130879.57,132468.13,133497.7,146025.63,-99,-99,-99,-99,-99,-99,0
项目名称00114,2021-10-20-2022-02-08,5377.05,7901.14,10145.1,12597.05,14953.06,17092.59,20041.79,22215.36,23806.5,-99,-99,-99,1
项目名称00115,2021-10-20-2022-01-20,11016.29,17673.47,21086.12,25575.56,34710.46,36742,38415.15,41591.71,42634.91,43740.28,45854.02,46882.64,0
项目名称00116,2021-10-20-2022-01-31,5484.07,6770.9,8327.25,12387.93,13484.45,14531.15,15669.12,-99,-99,-99,-99,-99,0
项目名称00117,2021-08-12-2022-02-17,147508.43,150640.61,153971.92,154266.98,154488.58,156119.08,159461.19,163666.04,168671.61,170668.38,172859.33,173860.81,0
项目名称00118,2021-08-12-2022-02-16,37953.16,41554.69,43911.81,48962.03,48974.7,48993.87,49318.3,49321.2,49338.3,49380.3,49416.56,49432.46,0
项目名称00119,2021-08-12-2022-02-11,448355.2,479443.44,492318.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,0
项目名称00120,2021-08-09-2022-02-08,87160.66,90828.91,96311.1,115786.53,123397.43,129145.3,133127.29,138344.98,146025.44,150187.98,154354.36,157969.55,0
项目名称00121,2021-08-09-2021-12-23,21172.93,22874.96,25705.38,28051.8,28769.86,-99,-99,-99,-99,-99,-99,-99,0
项目名称00122,2021-09-15-2021-12-25,35144.7,38853.78,42166.64,45066.46,47246.18,48681.18,50436.47,52977.53,54389.34,58385.49,60601.9,61457.81,0
项目名称00123,2021-09-15-2021-12-27,19652.23,20465.7,21393.96,21879.3,22921.52,23462.48,24340.02,30802.53,32064.38,32933.44,35438.91,45664.54,0
项目名称00124,2021-09-14-2022-08-31,28957.42,33281.62,34444.25,37395.75,40035.36,42066.02,42110.52,42112.52,46150.71,49654.14,52256.26,54914.54,0
项目名称00125,2021-09-14-2021-12-23,29449.12,31164.28,33481.15,34424.06,36577.86,42376.92,44171.68,46095.83,48270.95,49833.09,50922.17,52276.95,0
  项目名称00126  ,2021-07-23-2022-02-02,123650.24,123682.96,123828.04,123929.26,124480.88,125661.54,128477.46,130160.8,133374.06,134888.28,136520.89,137789.02,0
项目名称00127,2021-09-13-2022-01-28,3650.5,6129.96,6581.29,6583.92,6585.5,6592.53,6614.56,6627.58,6634.61,6634.81,-99,-99,0
项目名称00128,2021-07-20-2022-02-10,299836.6,320298.97,320451.85,320590.2,327155.05,333224.01,338973.09,352784.44,374903.03,388361.71,396479.71,415899.77,0
项目名称00129,2021-10-19-2022-02-03,34011.73,41821.07,52998.2,65519.58,80070.68,100750.5,117691.4,122616.88,134097.26,143927.29,149459.43,152031.37,0
项目名称00130,2021-07-12-2022-02-16,270575.64,282408.7,321351.43,321547.26,328723.83,-99,-99,-99,-99,-99,-99,-99,0
项目名称00131,2021-10-18-2022-10-18,9000.64,10066.53,11776.97,13451.42,14319.87,15166.75,16818.53,29366.81,33920.68,34683.95,36830.29,40226.25,0
项目名称00132,2021-07-10-2021-12-27,219362.89,227645.46,231236.63,235739.86,244772.6,248611.69,-99,-99,-99,-99,-99,-99,0
项目名称00133,2021-10-18-2022-02-07,2074.57,4655.58,6658.78,8965.17,10184.79,11663.5,14006.36,15491.09,17255.86,18492.51,20188.48,23021.51,0
项目名称00134,2021-07-08-2024-05-31,28563.27,30679.81,32530.35,34335.82,35379.5,36231.33,38020.61,38693.64,38746.77,38755.77,38771.84,38776.65,0
项目名称00135,2021-10-18-2022-01-22,6982.91,7532.81,7949.6,8273.07,8808.49,9575.08,10020.4,10297.35,10759.85,-99,-99,-99,0
项目名称00136,2021-10-18-2022-01-26,6774.33,8353.81,9967.3,10597.54,10937.58,11336.81,11751.05,12407.25,12858.13,13141.6,-99,-99,0
项目名称00137,2021-07-15-2021-11-30,33501.77,35220.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1
项目名称00138,2021-07-14-2022-02-15,126114.89,132909.92,144146.3,177800.53,184893.79,236133.32,241766.75,247748.39,279254.81,331784.22,353952.1,359306.88,0
项目名称00139,2021-06-30-2022-02-11,118313.07,125619.81,131459.4,136219.58,140505.99,144873.87,150034.06,157548.47,163466.92,167179.4,171611.83,175732.5,0
项目名称00140,2021-06-11-2021-12-21,175838.39,178063.79,186332.39,188797.8,191877.22,194203.81,-99,195285.47,195443.51,195553.18,196897.28,199027.08,0
项目名称00141,2021-09-06-2021-12-29,35642.93,39131.2,43551.47,47113.35,-99,-99,-99,-99,-99,-99,-99,-99,0
项目名称00142,2021-09-06-2021-12-08,75736.01,81867.3,89756.13,99878.89,104389.16,116938.52,128289.57,134549.79,138731.41,140370.78,148135.64,153327.13,0
项目名称00143,2021-09-06-2021-12-08,147942.81,160035.58,179081.32,188536.07,194365.67,199301.95,211264.84,217423.96,236115.85,250059.31,267243.9,278089.8,0
项目名称00144,2021-09-06-2021-12-15,148862.8,158343.38,170885.01,178148.62,182633.06,187876.74,196225.4,-99,-99,-99,-99,-99,0
项目名称00145,2021-09-06-2022-01-22,15873.34,18905.42,20954.66,23473.92,26555.87,27686.37,29508.39,29981.18,31599.54,32752.74,33705.81,33708.83,0
项目名称00146,2021-06-03-2021-12-01,150248.98,160077.2,167389.34,171415.56,174449.9,200348.24,224123.45,237717.9,249706.52,277270.37,286244.32,301297.1,0
项目名称00147,2021-05-31-2022-06-30,31839.25,33031.75,34302.01,34998.43,36135.89,37806.21,39583.74,40312.73,46563.88,46920.85,47229.74,47261.27,0
项目名称00148,2021-05-31-2022-02-03,42023.6,56333.64,87165.59,105718.08,125441.11,135759.17,151224.35,175459.33,197456.03,-99,-99,-99,0
项目名称00149,2021-10-15-2022-01-22,33215.11,36471.04,39573.77,42073.2,44547.6,46649.92,51898,58210.81,60110.62,61160.73,63601.76,65262.46,0
项目名称00150,2021-05-31-2022-01-25,122811.16,137448.26,199534.2,208856.69,221635.28,246690.26,-99,-99,-99,-99,-99,-99,0
项目名称00151,2021-10-14-2022-02-02,6151.76,7636.38,10010.18,15160.34,17499.61,19142.43,22117.56,22852.41,23122.42,23222.81,23288.3,23338.31,0
项目名称00152,2021-05-26-2021-12-13,384879.43,394967.75,417950.16,424128.67,428584.03,432351.46,439085.54,444832.27,450322.23,456520.62,463288.14,469260.14,0
项目名称00153,2021-10-13-2022-01-26,63298.26,67059.3,72194,75024.99,76822.72,78315.76,80895.11,83219.52,84785.64,85891.51,87411.71,88527.68,0
项目名称00154,2021-10-13-2022-01-19,70028.93,72540.39,76254.56,78874.36,80731.43,82601.08,-99,-99,97437.27,-99,101969.13,103524.6,0
项目名称00155,2020-07-27-2022-03-31,3381163.87,3401456.43,3425300.96,3449111.16,3464795.48,3484479.31,3515734.14,3612675.21,3708550.56,3766935.5,3840087.73,3915605.07,0
项目名称00156,2021-10-13-2022-01-19,41910.86,44037.64,46882.61,96006.32,96803.16,97219.37,97626.59,98311.14,99209.97,100155.41,101206.8,102968.09,0
项目名称00157,2020-07-09-2022-03-31,551446.26,562836.12,575072.65,584165.16,634529.42,652925.05,664357.34,670095.05,694618.58,701946.69,721936.46,735106.67,0
项目名称00158,2020-06-23-2022-03-31,1719234.44,1719266.34,1719414.97,1719450.13,1719454.13,1719459.63,1719508.3,1719593.71,1719644.71,1719712.32,1719817.85,1719841.86,0
项目名称00159,2020-05-14-2022-03-31,2501406.23,2511994.66,2547570.18,2557990.08,2597092.72,2655193.16,2665815.21,2696085.23,2736722.4,2755844.38,2768162.28,2777298.38,0
项目名称00160,2021-09-01-2021-12-26,36604.95,36795.22,36878.13,36970.87,37432.57,37477.87,-99,-99,-99,-99,-99,-99,0
项目名称00161,2020-05-14-2022-03-31,2226296.47,2235114.91,2250580.42,2262828.03,2272740.58,2288832.22,2300983.82,2314305.89,2322075.94,2332183.64,2352014.17,2368700.32,0
项目名称00162,2021-08-31-2021-12-01,13647.67,13682.85,13700.94,13789.46,13815.08,13844.58,-99,13855.1,14359.81,14391.01,14411.71,14490.93,0
项目名称00163,2021-08-31-2021-11-30,9545.95,9561.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0
项目名称00164,2021-08-30-2021-12-07,28809.29,29100.52,29585.41,30109.02,30448.55,30755.95,30990.85,31073.41,31084.92,31092.92,31101.42,31110.6,0
项目名称00165,2021-08-26-2021-12-23,40430.29,40747.95,41108.14,41760.8,43774.04,-99,-99,-99,-99,-99,-99,-99,0
项目名称00166,2021-05-07-2021-12-15,175836.41,178688.47,184140.59,187465.72,190907.59,193879.86,196788.9,199225.24,-99,-99,-99,-99,1
项目名称00167,2021-10-12-2022-01-31,11339.23,12950.74,14860.88,15048.92,15125.42,15295.42,-99,-99,-99,-99,-99,-99,0
项目名称00168,2021-05-07-2022-03-31,3763086.65,3796417.24,4025828.48,4093745.45,4155035.5,4333185,4450979.46,4620554.6,4830168.66,4879607.55,4936017.87,4970120.03,0
项目名称00169,2021-10-11-2022-01-16,14260.45,17164.65,19988.99,22908.52,25027.16,26651.16,-99,-99,-99,-99,28566.95,28636.96,0
项目名称00170,2021-04-21-2021-12-27,89463.27,92888.11,96501.83,142748.3,150118.89,160708.34,167763.93,174879.25,179441.72,182913.26,189637.46,195236.72,0
项目名称00171,2021-10-10-2022-01-31,15763.85,18423.22,23717.78,24146.09,24482.94,24847.38,-99,-99,-99,-99,33981.24,36194.47,0
项目名称00172,2021-04-19-2022-03-31,481558.7,481907.34,482208.23,482401.24,482687.81,482938.25,483160.37,483511.33,483980.82,484147.56,484548.38,484973.59,0
项目名称00173,2021-10-10-2022-01-31,8107.52,9638.44,11715.64,11787.53,11845.59,11854.15,-99,-99,-99,-99,-99,-99,0
项目名称00174,2021-10-09-2022-01-16,47436.65,54386.08,60907.36,67645.78,72957.3,77612.95,-99,-99,-99,-99,-99,-99,0
项目名称00175,2021-08-25-2022-02-16,11654.45,12178.66,12191.9,12242.4,12244.91,12279.45,-99,12296.04,12324.71,12349.71,12350.25,12361.89,0
